"","X","Concentration"
"2",0.0048,"0.00750902456506158"
"3",0.0288,"0.00752648074542256"
"4",0.0528,"0.00752648074542256"
"5",0.0768,"0.00754394995764645"
"6",0.1008,"0.00750902456506158"
"7",0.1248,"0.00752648074542256"
"8",0.1488,"0.00752648074542256"
"9",0.1728,"0.00752648074542256"
"10",0.1968,"0.00750902456506158"
"11",0.2208,"0.00754394995764645"
"12",0.2448,"0.00754394995764645"
"13",0.2688,"0.00752648074542256"
"14",0.2928,"0.00750902456506158"
"15",0.3168,"0.00752648074542256"
"16",0.3408,"0.00752648074542256"
"17",0.3648,"0.00752648074542256"
"18",0.3888,"0.00749157685541148"
"19",0.4128,"0.00749157685541148"
"20",0.4368,"0.00749157685541148"
"21",0.4608,"0.00747413826806542"
"22",0.4848,"0.00747413826806542"
"23",0.5088,"0.0074567146673617"
"24",0.5328,"0.0074567146673617"
"25",0.5568,"0.00743929758258943"
"26",0.5808,"0.0074567146673617"
"27",0.6048,"0.00747413826806542"
"28",0.6288,"0.00749157685541148"
"29",0.6528,"0.00749157685541148"
"30",0.6768,"0.0074567146673617"
"31",0.7008,"0.0074567146673617"
"32",0.7248,"0.0074567146673617"
"33",0.7488,"0.0074567146673617"
"34",0.7728,"0.00743929758258943"
"35",0.7969,"0.0074567146673617"
"36",0.8209,"0.0074567146673617"
"37",0.8449,"0.00743929758258943"
"38",0.8689,"0.0074567146673617"
"39",0.8929,"0.00747413826806542"
"40",0.9169,"0.00747413826806542"
"41",0.9409,"0.00750902456506158"
"42",0.9649,"0.00750902456506158"
"43",0.9889,"0.00750902456506158"
"44",1.013,"0.00747413826806542"
"45",1.037,"0.00747413826806542"
"46",1.061,"0.00747413826806542"
"47",1.085,"0.00747413826806542"
"48",1.109,"0.00747413826806542"
"49",1.133,"0.00749157685541148"
"50",1.157,"0.00747413826806542"
"51",1.181,"0.00749157685541148"
"52",1.205,"0.00749157685541148"
"53",1.229,"0.00752648074542256"
"54",1.253,"0.00750902456506158"
"55",1.277,"0.00752648074542256"
"56",1.301,"0.00749157685541148"
"57",1.325,"0.00750902456506158"
"58",1.349,"0.00750902456506158"
"59",1.373,"0.00747413826806542"
"60",1.397,"0.00747413826806542"
"61",1.421,"0.00747413826806542"
"62",1.445,"0.0074567146673617"
"63",1.469,"0.00747413826806542"
"64",1.493,"0.00747413826806542"
"65",1.517,"0.0074567146673617"
"66",1.541,"0.0074567146673617"
"67",1.565,"0.0074567146673617"
"68",1.589,"0.00747413826806542"
"69",1.613,"0.00752648074542256"
"70",1.637,"0.00752648074542256"
"71",1.661,"0.00750902456506158"
"72",1.685,"0.00750902456506158"
"73",1.709,"0.00752648074542256"
"74",1.733,"0.00750902456506158"
"75",1.757,"0.00750902456506158"
"76",1.781,"0.00750902456506158"
"77",1.805,"0.00749157685541148"
"78",1.829,"0.00750902456506158"
"79",1.853,"0.00749157685541148"
"80",1.877,"0.00747413826806542"
"81",1.901,"0.00750902456506158"
