"","Exp","r","r.lower","r.upper","seed_value"
"1","Exp 1",6.33865748981809e-05,6.07729622595415e-05,6.61525346095622e-05,0.46296
"2","Exp 2",7.41299362498612e-05,7.05495085296273e-05,7.78846538540764e-05,0.92593
"3","Exp 3",7.75258658646787e-05,7.3967643341102e-05,8.12225394761318e-05,1.38889
"4","Exp 4",7.72270074855744e-05,7.38618793606527e-05,8.07094010723032e-05,1.85184
"5","Exp 5",7.54941665619967e-05,7.24972585887337e-05,7.85845977353959e-05,2.3148
"6","Exp 6",5.79555407082219e-05,5.6204666290153e-05,5.9761921661383e-05,3.19442
