,[a] 0.46296,[b] 0.92593,[c] 1.38889,[d] 1.85184,[e] 2.3148,[f] 3.19442,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0.4848,8.03E-05,8.94E-05,9.13E-05,8.89E-05,8.33E-05,6.76E-05,2.79E-06,2.12E-05,1.84E-05,1.38E-05,2.14E-05,1.06E-05,-1.16E-04,8.31E-06,-3.70E-04,-4.95E-04,1.28E-05,-7.79E-05,-6.57E-05,-8.15E-05
0.5088,8.03E-05,9.02E-05,9.13E-05,8.89E-05,8.39E-05,6.77E-05,2.79E-06,1.78E-05,1.48E-05,6.98E-06,1.54E-05,8.38E-06,1.79E-04,-1.37E-04,8.31E-05,2.99E-04,-5.61E-06,-5.48E-05,-5.32E-05,-3.48E-05
0.5328,8.04E-05,9.02E-05,9.20E-05,8.92E-05,8.40E-05,6.80E-05,1.14E-05,1.46E-05,2.23E-05,2.81E-05,1.24E-05,1.26E-05,1.79E-04,8.31E-06,-1.50E-04,3.70E-04,-5.99E-05,-5.81E-05,-6.69E-05,-3.23E-06
0.5568,8.09E-05,9.09E-05,9.23E-05,9.02E-05,8.44E-05,6.84E-05,1.14E-05,1.82E-05,7.58E-06,2.47E-05,2.20E-05,1.06E-05,-2.37E-04,4.16E-06,-6.65E-05,-2.08E-04,-8.75E-05,-5.95E-05,-5.73E-05,-5.38E-05
0.5808,8.10E-05,9.11E-05,9.23E-05,9.04E-05,8.50E-05,6.86E-05,0,1.48E-05,1.92E-05,1.82E-05,1.58E-05,8.58E-06,4.16E-06,-2.99E-04,2.41E-04,-2.87E-04,-8.03E-05,-3.07E-05,-2.86E-05,-5.61E-05
0.6048,8.09E-05,9.16E-05,9.33E-05,9.11E-05,8.52E-05,6.88E-05,1.16E-05,3.79E-06,1.92E-05,1.10E-05,9.58E-06,1.30E-05,4.82E-04,-3.08E-04,-3.99E-04,-7.07E-05,-1.35E-05,-3.13E-05,-4.76E-05,-3.63E-05
0.6288,8.15E-05,9.13E-05,9.33E-05,9.09E-05,8.55E-05,6.92E-05,2.31E-05,0,0,1.48E-05,1.28E-05,1.50E-05,4.16E-06,1.50E-04,-7.48E-05,-5.36E-17,3.38E-05,-3.53E-05,-6.40E-05,-4.48E-05
0.6528,8.20E-05,9.16E-05,9.33E-05,9.18E-05,8.58E-05,6.95E-05,1.18E-05,1.10E-05,1.56E-05,1.10E-05,1.94E-05,1.08E-05,-4.82E-04,2.33E-04,4.03E-04,-7.07E-05,1.82E-05,-2.25E-05,-1.96E-05,-4.53E-05
0.6768,8.21E-05,9.18E-05,9.40E-05,9.14E-05,8.64E-05,6.97E-05,1.36E-20,1.12E-05,1.94E-05,1.14E-05,6.39E-06,8.78E-06,-4.28E-04,8.31E-06,-2.45E-04,1.62E-04,8.38E-06,7.29E-06,-2.51E-05,-5.15E-05
0.7008,8.20E-05,9.22E-05,9.42E-05,9.23E-05,8.61E-05,6.99E-05,-8.78E-06,1.14E-05,3.79E-06,1.88E-05,0,6.59E-06,6.24E-05,-7.48E-05,-1.54E-04,-3.16E-04,-1.85E-05,2.46E-05,-4.06E-05,-7.56E-05
