"","Seed_Concentration","mean","std","n"
"1","0.0",1.32638888888889,0.57516027183883,42
"2","0.1",1.42797619047619,0.790791817488188,42
"3","0.25",1.53511904761905,1.08438119384185,42
"4","0.5",2.26388888888889,1.13520278125183,42
"5","0.75",2.99265873015873,1.40080576210027,42
"6","1.0",2.05793650793651,1.03970132056223,42
"7","1.5",1.11924603174603,0.893634308173867,42
"8","1.75",0.926230158730159,0.703491684436268,42
"9","2.0",0.735734126984127,0.559858135170839,42
