"","time","Isotope","Product"
"1",0.0012,"D20",0.1252
"2",0.0072,"D20",0.1627
"3",0.0132,"D20",0.1856
"4",0.0192,"D20",0.2045
"5",0.0252,"D20",0.2186
"6",0.0312,"D20",0.2285
"7",0.0372,"D20",0.2504
"8",0.0432,"D20",0.27
"9",0.0492,"D20",0.2807
"10",0.0552,"D20",0.2921
"11",0.0612,"D20",0.3061
"12",0.0672,"D20",0.3165
"13",0.0732,"D20",0.3261
"14",0.07921,"D20",0.3395
"15",0.08521,"D20",0.352
"16",0.09121,"D20",0.3605
"17",0.09721,"D20",0.3743
"18",0.1032,"D20",0.3879
"19",0.1092,"D20",0.3972
"20",0.1152,"D20",0.4081
"21",0.1212,"D20",0.4207
"22",0.1272,"D20",0.43
"23",0.1332,"D20",0.4403
"24",0.1392,"D20",0.4531
"25",0.1452,"D20",0.4647
"26",0.1512,"D20",0.4726
"27",0.1572,"D20",0.4873
"28",0.1632,"D20",0.4998
"29",0.1692,"D20",0.5067
"30",0.1752,"D20",0.5181
"31",0.1812,"D20",0.5316
"32",0.1872,"D20",0.5371
"33",0.1932,"D20",0.5474
"34",0.1992,"D20",0.56
"35",0.2052,"D20",0.5689
"36",0.2112,"D20",0.5769
"37",0.2172,"D20",0.5903
"38",0.2232,"D20",0.6009
"39",0.2292,"D20",0.6085
"40",0.2352,"D20",0.6196
"41",0.2412,"D20",0.6309
"42",0.2472,"D20",0.6356
"43",0.2532,"D20",0.6438
"44",0.2592,"D20",0.6558
"45",0.2652,"D20",0.6619
"46",0.2712,"D20",0.6694
"47",0.2772,"D20",0.6835
"48",0.2832,"D20",0.6927
"49",0.2892,"D20",0.698
"50",0.2952,"D20",0.7103
"51",0.3012,"D20",0.7186
"52",0.3072,"D20",0.7215
"53",0.3132,"D20",0.73
"54",0.3192,"D20",0.7403
"55",0.3252,"D20",0.7447
"56",0.3312,"D20",0.7523
"57",0.3372,"D20",0.7631
"58",0.3432,"D20",0.7725
"59",0.3492,"D20",0.779
"60",0.3552,"D20",0.7871
"61",0.3612,"D20",0.7954
"62",0.3672,"D20",0.8022
"63",0.3732,"D20",0.8057
"64",0.3792,"D20",0.8126
"65",0.3852,"D20",0.8179
"66",0.3912,"D20",0.825
"67",0.3972,"D20",0.8341
"68",0.4032,"D20",0.8378
"69",0.4092,"D20",0.8471
"70",0.4152,"D20",0.8548
"71",0.4212,"D20",0.8626
"72",0.4272,"D20",0.8665
"73",0.4332,"D20",0.8725
"74",0.4392,"D20",0.8785
"75",0.4452,"D20",0.8785
"76",0.4512,"D20",0.8868
"77",0.4572,"D20",0.8951
"78",0.4632,"D20",0.8973
"79",0.4692,"D20",0.9037
"80",0.4752,"D20",0.9146
"81",0.0012,"H20",0.2578
"82",0.0072,"H20",0.4608
"83",0.0132,"H20",0.5705
"84",0.0192,"H20",0.6427
"85",0.0252,"H20",0.6997
"86",0.0312,"H20",0.753
"87",0.0372,"H20",0.8155
"88",0.0432,"H20",0.8783
"89",0.0492,"H20",0.9327
"90",0.0552,"H20",0.9765
"91",0.0612,"H20",1.017
"92",0.0672,"H20",1.055
"93",0.0732,"H20",1.093
"94",0.07921,"H20",1.128
"95",0.08521,"H20",1.178
"96",0.09121,"H20",1.212
"97",0.09721,"H20",1.24
"98",0.1032,"H20",1.269
"99",0.1092,"H20",1.306
"100",0.1152,"H20",1.346
"101",0.1212,"H20",1.37
"102",0.1272,"H20",1.403
"103",0.1332,"H20",1.424
"104",0.1392,"H20",1.447
"105",0.1452,"H20",1.47
"106",0.1512,"H20",1.494
"107",0.1572,"H20",1.539
"108",0.1632,"H20",1.548
"109",0.1692,"H20",1.568
"110",0.1752,"H20",1.578
"111",0.1812,"H20",1.599
"112",0.1872,"H20",1.61
"113",0.1932,"H20",1.656
"114",0.1992,"H20",1.669
"115",0.2052,"H20",1.695
"116",0.2112,"H20",1.682
"117",0.2172,"H20",1.695
"118",0.2232,"H20",1.708
"119",0.2292,"H20",1.752
"120",0.2352,"H20",1.752
"121",0.2412,"H20",1.784
"122",0.2472,"H20",1.768
"123",0.2532,"H20",1.768
"124",0.2592,"H20",1.784
"125",0.2652,"H20",1.836
"126",0.2712,"H20",1.836
"127",0.2772,"H20",1.855
"128",0.2832,"H20",1.855
"129",0.2892,"H20",1.836
"130",0.2952,"H20",1.836
"131",0.3012,"H20",1.855
"132",0.3072,"H20",1.941
"133",0.3132,"H20",1.918
"134",0.3192,"H20",1.918
"135",0.3252,"H20",1.875
"136",0.3312,"H20",1.896
"137",0.3372,"H20",1.918
"138",0.3432,"H20",1.941
"139",0.3492,"H20",1.941
"140",0.3552,"H20",1.965
"141",0.3612,"H20",1.918
"142",0.3672,"H20",1.941
"143",0.3732,"H20",1.918
"144",0.3792,"H20",1.991
"145",0.3852,"H20",1.991
