"","time","Isotope","Product"
"146",0.3912,"H20",1.991
"147",0.3972,"H20",1.965
"148",0.4032,"H20",1.965
"149",0.4092,"H20",1.991
"150",0.4152,"H20",1.991
"151",0.4212,"H20",1.991
"152",0.4272,"H20",1.991
"153",0.4332,"H20",1.991
"154",0.4392,"H20",1.991
"155",0.4452,"H20",1.991
"156",0.4512,"H20",1.991
"157",0.4572,"H20",1.991
"158",0.4632,"H20",1.991
"159",0.4692,"H20",1.991
"160",0.4752,"H20",1.991
"161",0.0012,"H20/D20",0.08612
"162",0.0072,"H20/D20",0.1692
"163",0.0132,"H20/D20",0.1946
"164",0.0192,"H20/D20",0.2325
"165",0.0252,"H20/D20",0.264
"166",0.0312,"H20/D20",0.2884
"167",0.0372,"H20/D20",0.3137
"168",0.0432,"H20/D20",0.3365
"169",0.0492,"H20/D20",0.3599
"170",0.0552,"H20/D20",0.3828
"171",0.0612,"H20/D20",0.4062
"172",0.0672,"H20/D20",0.4309
"173",0.0732,"H20/D20",0.451
"174",0.07921,"H20/D20",0.4752
"175",0.08521,"H20/D20",0.495
"176",0.09121,"H20/D20",0.5166
"177",0.09721,"H20/D20",0.5393
"178",0.1032,"H20/D20",0.5555
"179",0.1092,"H20/D20",0.5773
"180",0.1152,"H20/D20",0.5971
"181",0.1212,"H20/D20",0.6101
"182",0.1272,"H20/D20",0.635
"183",0.1332,"H20/D20",0.6504
"184",0.1392,"H20/D20",0.6638
"185",0.1452,"H20/D20",0.6855
"186",0.1512,"H20/D20",0.6974
"187",0.1572,"H20/D20",0.7152
"188",0.1632,"H20/D20",0.7309
"189",0.1692,"H20/D20",0.7427
"190",0.1752,"H20/D20",0.7563
"191",0.1812,"H20/D20",0.7719
"192",0.1872,"H20/D20",0.7865
"193",0.1932,"H20/D20",0.7982
"194",0.1992,"H20/D20",0.8137
"195",0.2052,"H20/D20",0.8244
"196",0.2112,"H20/D20",0.839
"197",0.2172,"H20/D20",0.8485
"198",0.2232,"H20/D20",0.8581
"199",0.2292,"H20/D20",0.8699
"200",0.2352,"H20/D20",0.8841
"201",0.2412,"H20/D20",0.8903
"202",0.2472,"H20/D20",0.9053
"203",0.2532,"H20/D20",0.914
"204",0.2592,"H20/D20",0.9185
"205",0.2652,"H20/D20",0.9344
"206",0.2712,"H20/D20",0.939
"207",0.2772,"H20/D20",0.9438
"208",0.2832,"H20/D20",0.9607
"209",0.2892,"H20/D20",0.9656
"210",0.2952,"H20/D20",0.9681
"211",0.3012,"H20/D20",0.9834
"212",0.3072,"H20/D20",0.9886
"213",0.3132,"H20/D20",0.9939
"214",0.3192,"H20/D20",1.002
"215",0.3252,"H20/D20",1.01
"216",0.3312,"H20/D20",1.01
"217",0.3372,"H20/D20",1.021
"218",0.3432,"H20/D20",1.033
"219",0.3492,"H20/D20",1.027
"220",0.3552,"H20/D20",1.042
"221",0.3612,"H20/D20",1.048
"222",0.3672,"H20/D20",1.045
"223",0.3732,"H20/D20",1.06
"224",0.3792,"H20/D20",1.057
"225",0.3852,"H20/D20",1.063
"226",0.3912,"H20/D20",1.076
"227",0.3972,"H20/D20",1.069
"228",0.4032,"H20/D20",1.076
"229",0.4092,"H20/D20",1.089
"230",0.4152,"H20/D20",1.085
"231",0.4212,"H20/D20",1.089
"232",0.4272,"H20/D20",1.102
"233",0.4332,"H20/D20",1.099
"234",0.4392,"H20/D20",1.102
"235",0.4452,"H20/D20",1.112
"236",0.4512,"H20/D20",1.112
"237",0.4572,"H20/D20",1.109
"238",0.4632,"H20/D20",1.127
"239",0.4692,"H20/D20",1.119
"240",0.4752,"H20/D20",1.123
