"","time","Condition","Product","preds","pred.l","pred.u"
"1",0.0048,"oxalic",0.488465605928005,0.487264178668404,0.483020649149195,0.491507708187612
"2",0.0288,"oxalic",0.493257360620792,0.494412107375279,0.490168577856071,0.498655636894488
"3",0.0528,"oxalic",0.496484460720017,0.501053111834899,0.49680958231569,0.505296641354108
"4",0.0768,"oxalic",0.506459133753982,0.507208643957513,0.502965114438304,0.511452173476721
"5",0.1008,"oxalic",0.512326588479844,0.512901763616286,0.508658234097077,0.517145293135495
"6",0.1248,"oxalic",0.517509506821022,0.518156597348043,0.513913067828834,0.522400126867252
"7",0.1488,"oxalic",0.5226924251622,0.522997863766997,0.518754334247788,0.527241393286206
"8",0.1728,"oxalic",0.528853252624354,0.527450466130538,0.523206936611329,0.531693995649747
"9",0.1968,"oxalic",0.53413396187763,0.531539150033146,0.527295620513937,0.535782679552355
"10",0.2208,"oxalic",0.537752225625246,0.535288222414578,0.531044692895369,0.539531751933787
"11",0.2448,"oxalic",0.54049037116398,0.538721326871041,0.534477797351833,0.54296485639025
"12",0.2688,"oxalic",0.544108634911595,0.541861269558125,0.537617740038916,0.546104799077334
"13",0.2928,"oxalic",0.547824689571308,0.54472988967392,0.540486360154712,0.548973419193129
"14",0.3168,"oxalic",0.550562835110043,0.547347968516954,0.543104438997745,0.551591498036162
"15",0.3408,"oxalic",0.551540744231021,0.549735171342832,0.545491641823623,0.553978700862041
"16",0.3648,"oxalic",0.551540744231021,0.551910016624793,0.547666487105585,0.556153546144002
"17",0.3888,"oxalic",0.553398771560876,0.553889867798288,0.549646338279079,0.558133397317497
"18",0.4128,"oxalic",0.55711482622059,0.555690943092526,0.551447413573317,0.559934472611735
"19",0.4368,"oxalic",0.55623470801171,0.557328339587927,0.553084810068719,0.561571869107136
"20",0.4608,"oxalic",0.55623470801171,0.558816068162647,0.554572538643438,0.563059597681856
"21",0.4848,"oxalic",0.558092735341566,0.560167096486911,0.555923566967702,0.56441062600612
"22",0.5088,"oxalic",0.561906580913377,0.561393397680059,0.557149868160851,0.565636927199268
"23",0.5328,"oxalic",0.56386239915533,0.562506002656303,0.558262473137095,0.566749532175512
"24",0.5568,"oxalic",0.56386239915533,0.563515054549186,0.559271525029977,0.567758584068395
"25",0.5808,"oxalic",0.561906580913377,0.564429863921973,0.560186334402764,0.568673393441182
"26",0.6048,"oxalic",0.56474251736421,0.565258963744043,0.561015434224834,0.569502493263252
"27",0.6288,"oxalic",0.567676244727141,0.56601016334497,0.561766633825761,0.570253692864179
"28",0.6528,"oxalic",0.565720426485186,0.566690600752418,0.562447071233209,0.570934130271626
"29",0.6768,"oxalic",0.56386239915533,0.567306792981191,0.563063263461982,0.5715503225004
"30",0.7008,"oxalic",0.56386239915533,0.56786468397308,0.563621154453871,0.572108213492288
"31",0.7248,"oxalic",0.566698335606164,0.56836968999427,0.564126160475061,0.572613219513479
"32",0.7488,"oxalic",0.567676244727141,0.568826742382865,0.564583212863656,0.573070271902073
"33",0.7728,"oxalic",0.566698335606164,0.569240327606683,0.564996798087474,0.573483857125892
"34",0.7969,"oxalic",0.566698335606164,0.569616006700228,0.565372477181019,0.573859536219437
"35",0.8209,"oxalic",0.569632062969095,0.569954380388007,0.565710850868798,0.574197909907216
"36",0.8449,"oxalic",0.571587881211048,0.570260451213155,0.566016921693946,0.574503980732364
"37",0.8689,"oxalic",0.569632062969095,0.570537272919778,0.566293743400569,0.574780802438987
"38",0.8929,"oxalic",0.568654153848117,0.570787616069267,0.566544086550058,0.575031145588476
"39",0.9169,"oxalic",0.567676244727141,0.571013993289209,0.56677046377,0.575257522808418
"40",0.9409,"oxalic",0.569632062969095,0.571218682459051,0.566975152939842,0.57546221197826
"41",0.9649,"oxalic",0.569632062969095,0.571403747965214,0.567160218446006,0.575647277484423
"42",0.9889,"oxalic",0.568654153848117,0.571571060157154,0.567327530637945,0.575814589676363
"43",1.013,"oxalic",0.566698335606164,0.571722911953993,0.567479382434784,0.575966441473202
"44",1.037,"oxalic",0.568654153848117,0.571859582279212,0.567616052760003,0.576103111798421
"45",1.061,"oxalic",0.573543699453003,0.57198312186073,0.567739592341521,0.576226651379939
"46",1.085,"oxalic",0.573543699453003,0.57209478735565,0.567851257836441,0.576338316874859
"47",1.109,"oxalic",0.571587881211048,0.572195716052208,0.567952186532999,0.576439245571417
"48",1.133,"oxalic",0.571587881211048,0.572286937043634,0.568043407524425,0.576530466562843
"49",1.157,"oxalic",0.572565790332026,0.572369381386479,0.56812585186727,0.576612910905688
"50",1.181,"oxalic",0.572565790332026,0.57244389133002,0.568200361810811,0.576687420849229
"51",1.205,"oxalic",0.570609972090072,0.572511228697083,0.568267699177874,0.576754758216292
"52",1.229,"oxalic",0.569632062969095,0.572572082490522,0.568328552971313,0.576815612009731
"53",1.253,"oxalic",0.570609972090072,0.57262707579383,0.568383546274621,0.576870605313039
"54",1.277,"oxalic",0.571587881211048,0.572676772028884,0.568433242509675,0.576920301548093
"55",1.301,"oxalic",0.574521608573979,0.572721680628653,0.568478151109444,0.576965210147862
"56",1.325,"oxalic",0.573543699453003,0.572762262177908,0.5685187326587,0.577005791697117
"57",1.349,"oxalic",0.572565790332026,0.572798933070458,0.568555403551249,0.577042462589667
"58",1.373,"oxalic",0.575499517694957,0.572832069727267,0.568588540208058,0.577075599246475
"59",1.397,"oxalic",0.575499517694957,0.57286201241596,0.568618482896751,0.577105541935169
"60",1.421,"oxalic",0.572565790332026,0.572889068708635,0.568645539189426,0.577132598227844
